department,type,sub_type
digital_healthcare,complaint,account_login_complaint
digital_healthcare,complaint,app_malfunction_complaint
digital_healthcare,complaint,billing_complaint
digital_healthcare,complaint,compatibility_complaint
digital_healthcare,complaint,data_privacy_complaint
digital_healthcare,complaint,feature_complaint
digital_healthcare,complaint,incorrect_health_information_complaint
digital_healthcare,complaint,poor_customer_support_complaint
digital_healthcare,complaint,subscription_complaint
digital_healthcare,complaint,usability_complaint
digital_healthcare,query,account_query
digital_healthcare,query,app_functionality_query
digital_healthcare,query,compatibility_query
digital_healthcare,query,feature_usage_query
digital_healthcare,query,general_information_query
digital_healthcare,query,health_data_query
digital_healthcare,query,subscription_billing_query
digital_healthcare,query,technical_support_query
digital_healthcare,suggestion,compatibility_suggestion
digital_healthcare,suggestion,customer_support_suggestion
digital_healthcare,suggestion,data_security_suggestion
digital_healthcare,suggestion,feature_enhancement_suggestion
digital_healthcare,suggestion,health_resource_suggestion
digital_healthcare,suggestion,health_tracking_suggestion
digital_healthcare,suggestion,regular_update_suggestion
digital_healthcare,suggestion,subscription_option_suggestion
digital_healthcare,suggestion,user_experience_improvement_suggestion
ecommerce,complaint,customer_service_issue
ecommerce,complaint,delivery_issue
ecommerce,complaint,fraud_issue
ecommerce,complaint,payment_issue
ecommerce,complaint,product_issue
ecommerce,complaint,return_exchange_issue
ecommerce,complaint,technical_issue
ecommerce,query,account_management_query
ecommerce,query,discount_query
ecommerce,query,order_status_query
ecommerce,query,product_availability_query
ecommerce,query,product_specification_query
ecommerce,query,return_policy_query
ecommerce,query,shipping_duration_query
ecommerce,suggestion,feature_enhancement_suggestion
ecommerce,suggestion,mobile_app_suggestion
ecommerce,suggestion,payment_suggestion
ecommerce,suggestion,product_suggestion
ecommerce,suggestion,service_improvement_suggestion
ecommerce,suggestion,shipping_suggestion
ecommerce,suggestion,sustainability_initiative_suggestion
health_insurance,complaint,access_information_complaint
health_insurance,complaint,billing_complaint
health_insurance,complaint,claim_denial_complaint
health_insurance,complaint,coverage_dispute_complaint
health_insurance,complaint,customer_service_complaint
health_insurance,complaint,hospital_network_complaint
health_insurance,complaint,payment_delay_complaint
health_insurance,complaint,policy_miscommunication_complaint
health_insurance,complaint,renewal_complaint
health_insurance,query,benefit_discount_query
health_insurance,query,claim_process_query
health_insurance,query,coverage_specific_treatment_query
health_insurance,query,document_query
health_insurance,query,network_provider_query
health_insurance,query,policy_change_query
health_insurance,query,policy_coverage_query
health_insurance,query,policy_renewal_query
health_insurance,query,premium_payment_query
health_insurance,suggestion,claim_process_suggestion
health_insurance,suggestion,customer_service_suggestion
health_insurance,suggestion,enhanced_digital_service_suggestion
health_insurance,suggestion,expanded_coverage_suggestion
health_insurance,suggestion,feedback_mechanism_suggestion
health_insurance,suggestion,improved_communication_suggestion
health_insurance,suggestion,increased_transparency_suggestion
health_insurance,suggestion,network_expansion_suggestion
health_insurance,suggestion,payment_option_suggestion
health_insurance,suggestion,wellness_program_suggestion
hospitality_and_accommodation,complaint,billing_error_complaint
hospitality_and_accommodation,complaint,inaccurate_information_complaint
hospitality_and_accommodation,complaint,maintenance_complaint
hospitality_and_accommodation,complaint,noise_disturbance_complaint
hospitality_and_accommodation,complaint,poor_customer_service_complaint
hospitality_and_accommodation,complaint,quality_amenity_complaint
hospitality_and_accommodation,complaint,reservation_complaint
hospitality_and_accommodation,complaint,room_cleanliness_complaint
hospitality_and_accommodation,complaint,security_complaint
hospitality_and_accommodation,complaint,unfulfilled_special_request_complaint
hospitality_and_accommodation,query,amenity_service_query
hospitality_and_accommodation,query,cancellation_policy_query
hospitality_and_accommodation,query,check-in_check-out_time_query
hospitality_and_accommodation,query,event_conference_facility_query
hospitality_and_accommodation,query,payment_method_query
hospitality_and_accommodation,query,pricing_discount_query
hospitality_and_accommodation,query,reservation_modification_query
hospitality_and_accommodation,query,room_availability_query
hospitality_and_accommodation,query,special_request_query
hospitality_and_accommodation,query,transportation_parking_query
hospitality_and_accommodation,suggestion,booking_process_suggestion
hospitality_and_accommodation,suggestion,customer_service_training_suggestion
hospitality_and_accommodation,suggestion,eco-friendly_practice_suggestion
hospitality_and_accommodation,suggestion,enhanced_dining_suggestion
hospitality_and_accommodation,suggestion,entertainment_suggestion
hospitality_and_accommodation,suggestion,facility_suggestion
hospitality_and_accommodation,suggestion,loyalty_program_suggestion
hospitality_and_accommodation,suggestion,room_feature_suggestion
hospitality_and_accommodation,suggestion,service_enhancement_suggestion
hospitals_and_healthcare,complaint,appointment_complaint
hospitals_and_healthcare,complaint,billing_complaint
hospitals_and_healthcare,complaint,facility_cleanliness_complaint
hospitals_and_healthcare,complaint,insurance_billing_dispute_complaint
hospitals_and_healthcare,complaint,lack_follow-up_care_complaint
hospitals_and_healthcare,complaint,long_wait_complaint
hospitals_and_healthcare,complaint,medical_complaint
hospitals_and_healthcare,complaint,poor_communication_complaint
hospitals_and_healthcare,complaint,staff_complaint
hospitals_and_healthcare,query,appointment_scheduling_query
hospitals_and_healthcare,query,doctor_availability_query
hospitals_and_healthcare,query,facility_service_query
hospitals_and_healthcare,query,insurance_billing_query
hospitals_and_healthcare,query,medical_record_query
hospitals_and_healthcare,query,medication_information_query
hospitals_and_healthcare,query,procedure_detail_query
hospitals_and_healthcare,query,referral_specialist_consultation_query
hospitals_and_healthcare,query,test_result_query
hospitals_and_healthcare,query,visitation_policy_query
hospitals_and_healthcare,suggestion,appointment_scheduling_suggestion
hospitals_and_healthcare,suggestion,communication_suggestion
hospitals_and_healthcare,suggestion,enhanced_privacy_suggestion
hospitals_and_healthcare,suggestion,environmental_sustainability_suggestion
hospitals_and_healthcare,suggestion,facility_suggestion
hospitals_and_healthcare,suggestion,follow-up_care_suggestion
hospitals_and_healthcare,suggestion,food_service_suggestion
hospitals_and_healthcare,suggestion,pain_management_suggestion
hospitals_and_healthcare,suggestion,recreational_activity_suggestion
hospitals_and_healthcare,suggestion,staff_training_suggestion
it,complaint,account_access_complaint
it,complaint,billing_subscription_complaint
it,complaint,customer_support_complaint
it,complaint,data_privacy_complaint
it,complaint,feature_limitation_complaint
it,complaint,integration_complaint
it,complaint,language_localization_complaint
it,complaint,performance_complaint
it,complaint,technical_complaint
it,complaint,update_complaint
it,complaint,usability_ui_complaint
it,query,account_subscription_query
it,query,api_integration
it,query,data_security_query
it,query,feature_usage_query
it,query,installation
it,query,license_activation_query
it,query,performance_query
it,query,security_query
it,query,updates_query
it,suggestion,analytics_suggestion
it,suggestion,documentation_suggestion
it,suggestion,feedback_mechanism_suggestion
it,suggestion,integration_suggestion
it,suggestion,localization_suggestion
it,suggestion,performance_suggestion
it,suggestion,price_license_suggestion
it,suggestion,security_suggestion
it,suggestion,ui_ux_suggestion
retail,complaint,checkout_complaint
retail,complaint,in_store_return_complaint
retail,complaint,product_placement_complaint
retail,complaint,staff_service_complaint
retail,complaint,store_condition_complaint
retail,query,event_query
retail,query,in_store_availability_query
retail,query,in_store_safety_query
retail,query,in_store_service_query
retail,query,store_query
retail,suggestion,health_suggestion
retail,suggestion,in_store_technology_suggestion
retail,suggestion,staff_training_suggestion
retail,suggestion,store_layout_suggestion
tourism_services,complaint,billing_issue_complaint
tourism_services,complaint,delayed_canceled_tour_complaint
